2026-01-05 10:34:02 [TestNG-test-OranegHRMTest-1] WARN  BaseClass - warn message
2026-01-05 10:34:02 [TestNG-test-OranegHRMTest-1] INFO  BaseClass - WebDriver instance is closed
2026-01-05 10:34:03 [TestNG-test-OranegHRMTest-3] INFO  BaseClass - WedDriver initiliazed and Browser maximized
2026-01-05 10:34:03 [TestNG-test-OranegHRMTest-3] WARN  BaseClass - warn message
2026-01-05 10:34:03 [TestNG-test-OranegHRMTest-3] INFO  BaseClass - WebDriver instance is created
2026-01-05 10:34:03 [TestNG-test-OranegHRMTest-3] INFO  BaseClass - ActionDriver Instance is created.38
2026-01-05 10:53:38 [main] INFO  BaseClass - config.properties file loaded
2026-01-05 10:53:41 [TestNG-test-OranegHRMTest-1] INFO  BaseClass - ChromeDriver instance is created
2026-01-05 10:53:43 [TestNG-test-OranegHRMTest-2] INFO  BaseClass - ChromeDriver instance is created
2026-01-05 10:53:43 [TestNG-test-OranegHRMTest-4] INFO  BaseClass - ChromeDriver instance is created
2026-01-05 10:53:44 [TestNG-test-OranegHRMTest-3] INFO  BaseClass - ChromeDriver instance is created
2026-01-05 10:53:44 [TestNG-test-OranegHRMTest-1] INFO  BaseClass - WedDriver initiliazed and Browser maximized
2026-01-05 10:53:44 [TestNG-test-OranegHRMTest-1] WARN  BaseClass - warn message
2026-01-05 10:53:44 [TestNG-test-OranegHRMTest-1] INFO  BaseClass - WebDriver instance is created
2026-01-05 10:53:44 [TestNG-test-OranegHRMTest-1] INFO  BaseClass - Action Driver is initialized for thread : 34
2026-01-05 10:53:46 [TestNG-test-OranegHRMTest-4] INFO  BaseClass - WedDriver initiliazed and Browser maximized
2026-01-05 10:53:46 [TestNG-test-OranegHRMTest-4] WARN  BaseClass - warn message
2026-01-05 10:53:46 [TestNG-test-OranegHRMTest-4] INFO  BaseClass - WebDriver instance is created
2026-01-05 10:53:46 [TestNG-test-OranegHRMTest-4] INFO  BaseClass - Action Driver is initialized for thread : 37
2026-01-05 10:53:47 [TestNG-test-OranegHRMTest-1] INFO  BaseClass - WebDriver instance is closed
2026-01-05 10:53:50 [TestNG-test-OranegHRMTest-2] INFO  BaseClass - WedDriver initiliazed and Browser maximized
2026-01-05 10:53:50 [TestNG-test-OranegHRMTest-2] WARN  BaseClass - warn message
2026-01-05 10:53:50 [TestNG-test-OranegHRMTest-2] INFO  BaseClass - WebDriver instance is created
2026-01-05 10:53:50 [TestNG-test-OranegHRMTest-2] INFO  BaseClass - Action Driver is initialized for thread : 35
2026-01-05 10:53:51 [TestNG-test-OranegHRMTest-2] INFO  BaseClass - WebDriver instance is closed
